name,cuisines,area,averagecost,cluster
Salt - Indian Restaurant Bar & Grill,"North Indian, South Indian, Biryani, Kebab, Desserts, Mughlai","UB City, Bangalore",1500,4
Basaveshwara Khanavali,South Indian,"Koramangala 1st Block, Bangalore",200,2
Hotel Revoli Inn,"Mughlai, Chinese, North Indian","Shanti Nagar, Bangalore",400,2
Punjab Junction,"North Indian, Chinese, Mughlai","Kaggadasapura, Bangalore",450,2
Sri  Udupi Vaibhav,"South Indian, North Indian, Chinese, Beverages","Indiranagar, Bangalore",350,2
China Pearl,"Chinese, North Indian, Seafood, Fast Food, Desserts, Beverages","Koramangala 6th Block, Bangalore",1100,1
Odia Khaiba,"Odia, North Indian, Chinese, Seafood","Old Airport Road, Bangalore",400,2
Delhi Food Point,"North Indian, Beverages","Koramangala 1st Block, Bangalore",250,2
Swiss Cream,"Ice Cream, Beverages, Desserts, Shake, Waffle","Old Madras Road, Bangalore",250,2
Hotel Salala,"North Indian, South Indian, Chinese, Kebab, Biryani, Beverages","Old Airport Road, Bangalore",500,2
Biggies Burger,"Fast Food, Burger, Beverages","Church Street, Bangalore",300,2
Hot & Cold Hut,"Fast Food, Rolls, Chinese, Sandwich","Koramangala 4th Block, Bangalore",150,3
Vinay Upahar,"South Indian, Street Food, Beverages, Ice Cream, Juices, Shake","Shivajinagar, Bangalore",100,2
Paris Panini - French Street Food,"French, Continental, Sandwich, Panini, Beverages, Desserts","Indiranagar, Bangalore",500,2
Kouzina Kafe - The Food Court,"Fast Food, Bakery, Desserts","Domlur, Bangalore",200,0
No Sugar Please!,"Juices, Beverages, Healthy Food","Koramangala 1st Block, Bangalore",200,3
Go Native,"Healthy Food, North Indian, South Indian, Fast Food, Desserts, Beverages","Lavelle Road, Bangalore",1000,1
Taiki,"Japanese, Korean, Asian, Sushi","Indiranagar, Bangalore",1400,4
HomeSe Just Veg,"South Indian, North Indian","Indiranagar, Bangalore",150,0
Little Italy,"Italian, Pizza","Indiranagar, Bangalore",1200,1
Coastal Delight,"Seafood, South Indian, North Indian, Mangalorean, Chinese","Indiranagar, Bangalore",650,1
Calcutta Victoria Chat House,"North Indian, Street Food, Desserts, Beverages","Banaswadi, Bangalore",200,2
Blue Tokai Coffee Roasters,"Cafe, Beverages, Coffee, European, Continental","Indiranagar, Bangalore",600,1
1522 - The Pub,"Chinese, North Indian, Mughlai, Finger Food, Seafood","Residency Road, Bangalore",1200,1
Paratha Plaza,"North Indian, Chinese","Indiranagar, Bangalore",300,2
Sichuan,"Chinese, Asian, Seafood, Momos","Jeevan Bhima Nagar, Bangalore",250,0
Brindavan Upachar,"North Indian, South Indian, Chinese","Kammanahalli, Bangalore",250,2
Udupi Shanthi Sagar,"North Indian, South Indian, Chinese, Biryani, Sandwich, Street Food, Beverages","Frazer Town, Bangalore",600,1
Say Cheese Cake,"Bakery, Desserts, Beverages, Shake","Koramangala 6th Block, Bangalore",200,3
Bombay Kulfis,"Desserts, Ice Cream","Indiranagar, Bangalore",200,2
Burger Seigneur,"Cafe, Burger, Continental, Beverages, Desserts","Indiranagar, Bangalore",1300,4
Bheema's,"Chinese, North Indian, Mughlai","Church Street, Bangalore",650,1
Sabari Juice Junction,"Beverages, Sandwich, Juices, Shake","Jeevan Bhima Nagar, Bangalore",100,3
Kerala Pavilion,"Kerala, South Indian, Chinese","Domlur, Bangalore",400,2
Lakeview Milkbar,"Fast Food, Desserts, Cafe, Pizza, Beverages, Shake","Indiranagar, Bangalore",200,0
Appu's Donne Biryani,"Biryani, Kebab, South Indian","Koramangala 6th Block, Bangalore",500,2
Cool Town,"Beverages, Desserts, Street Food, Ice Cream, Juices","Richmond Road, Bangalore",200,2
Habibi Falafel,"Arabian, Beverages, Fast Food","Indiranagar, Bangalore",550,2
Snack House,"Fast Food, Momos, Street Food","Indiranagar, Bangalore",150,0
Sri Basaveshwara Khanavali,South Indian,"CV Raman Nagar, Bangalore",150,2
Kartik's Mithai Shoppe,"Mithai, North Indian, Street Food","Indiranagar, Bangalore",300,2
Jai Bhavani Dhaba,"North Indian, Chinese","Indiranagar, Bangalore",300,2
Asia Kitchen By Mainland China,"Chinese, Momos, Thai, Asian, Seafood, Sushi, Beverages","Koramangala 7th Block, Bangalore",400,0
Central Biryani House,"Biryani, Hyderabadi, Desserts","Ulsoor, Bangalore",200,0
The Hole In The Wall Cafe,"Cafe, Burger, Beverages, Desserts, Shake, American","Koramangala 4th Block, Bangalore",600,1
Sagar Delicacy,"North Indian, Chinese, South Indian, Shake","Ulsoor, Bangalore",400,2
Happy Belly Bakes,"Bakery, Desserts, Beverages","Indiranagar, Bangalore",400,3
The Ganache Factory,"Bakery, Desserts","Kaggadasapura, Bangalore",200,0
Elixir-Luxury Pearls Drink,"Beverages, Bubble Tea","Ulsoor, Bangalore",250,0
Mamagoto,"Asian, Chinese, Sushi, Thai","Indiranagar, Bangalore",1400,4
Bengali Khabar,"North Indian, Bengali, Chinese, Seafood","Old Airport Road, Bangalore",400,2
Karim's Delhi 6,"Mughlai, North Indian","St. Marks Road, Bangalore",800,1
Al Taza,Lebanese,"Koramangala 1st Block, Bangalore",400,2
Mega Biryani,Biryani,"Jeevan Bhima Nagar, Bangalore",200,3
Karachi Bakery,"Burger, Fast Food, Pizza, Desserts, Pasta, Waffle, Beverages, Coffee","Indiranagar, Bangalore",600,1
Chung's Chinese Corner,"Chinese, Asian, Seafood","Cunningham Road, Bangalore",1200,1
Chandni Chowk 2 Bangalore,"North Indian, Pizza, Beverages, Biryani, Shake, Desserts","Jeevan Bhima Nagar, Bangalore",500,2
Sampurna - The House Of Southern Flavours,"Andhra, South Indian, Biryani, Beverages","Ulsoor, Bangalore",700,1
Porkeats,"Goan, Mangalorean, Fast Food","Koramangala 6th Block, Bangalore",350,2
Village Donne Biryani,"Biryani, South Indian","Koramangala 5th Block, Bangalore",300,2
SLAY Coffee Bar,"Beverages, Coffee, Bakery","Indiranagar, Bangalore",350,2
Pure Veg Meals By LunchBox,"North Indian, Shake","Indiranagar, Bangalore",200,0
ITC Master Chef Creations,"North Indian, Mughlai, Desserts","Banaswadi, Bangalore",350,0
Bangalore Mandarin,"Chinese, Seafood","Indiranagar, Bangalore",1100,1
Samosa Singh,"Street Food, Fast Food, Tea, North Indian","Thippasandra, Bangalore",150,3
Tandoori Taal,North Indian,"Indiranagar, Bangalore",900,1
Mangalore Pearl - Seafood Restaurant,"Mangalorean, Seafood","Ulsoor, Bangalore",500,2
Rajhans,"North Indian, Chinese, Fast Food, Beverages","St. Marks Road, Bangalore",300,2
Boss Burger,"Burger, Fast Food, Desserts, Beverages, Shake","Indiranagar, Bangalore",300,0
Delicious Momos,"Chinese, Momos","Kammanahalli, Bangalore",450,2
Flax,"Cafe, Healthy Food, Salad","Indiranagar, Bangalore",700,1
Kabab Korner,"North Indian, Chinese, Mughlai","St. Marks Road, Bangalore",650,1
Barkaas- Arabic Restaurant,"Arabian, Biryani, Desserts, Beverages, Salad","Marathahalli, Bangalore",1100,1
Keventers Ice Cream,"Ice Cream, Desserts, Shake, Beverages","Brigade Road, Bangalore",200,3
Nasi And Mee,"Asian, Indonesian, Japanese, Sushi, Thai","Koramangala 4th Block, Bangalore",800,1
Simpli Namdhari's,"Asian, Fast Food, Chinese, North Indian, Beverages, Salad","Brigade Road, Bangalore",200,0
Saiko Sushi House,"Sushi, Japanese","Kaggadasapura, Bangalore",450,0
The Coorg Food Co.,South Indian,"Koramangala 6th Block, Bangalore",800,1
Dawat Durbar,"Mughlai, North Indian","Shivajinagar, Bangalore",150,0
Santhanam Sweets & Savouries,"Mithai, Street Food","Commercial Street, Bangalore",100,3
Lion King,"Chinese, Thai, Seafood","Kaggadasapura, Bangalore",500,2
Gowdru Hotel,"South Indian, Biryani, Mughlai","Indiranagar, Bangalore",350,2
Bhagathram Sweets,"Mithai, North Indian, Street Food","Commercial Street, Bangalore",400,2
Al Zara Mandi Arabian Restaurant,Arabian,"Frazer Town, Bangalore",900,1
Sri Krishna Sweets,Mithai,"Indiranagar, Bangalore",150,3
Cookie Man,"Bakery, Desserts","Gopalan Signature Mall, Old Madras Road, Bangalore",100,3
The Baker's Dozen,"Bakery, Desserts","Domlur, Bangalore",150,3
AL Bain Restaurant,"North Indian, Arabian, Chinese, Lebanese, Desserts, Shake, Beverages","Kammanahalli, Bangalore",800,1
Donne Biryani Corner,"Biryani, South Indian","Brigade Road, Bangalore",150,3
Punjab Express,"North Indian, Mughlai, Rolls, Fast Food, Beverages","Ulsoor, Bangalore",300,0
Hi Seoul,Korean,"Kalyan Nagar, Bangalore",800,1
Fishland,"Seafood, Chettinad","Majestic, Bangalore",1000,1
Malabar,"Kerala, Biryani","Jeevan Bhima Nagar, Bangalore",400,2
Lazeez,"North Indian, Mughlai, Biryani","Koramangala 5th Block, Bangalore",600,1
Rajpurohit Sweets,"Mithai, Street Food","Banaswadi, Bangalore",100,2
DA Ying Yang Cuisines,Chinese,"Vasanth Nagar, Bangalore",300,3
Sri Krishna Nandagokula Veg,"South Indian, North Indian, Chinese, Street Food, Beverages","Indiranagar, Bangalore",300,2
BIB - Breakfast In The Box,Continental,"Thippasandra, Bangalore",200,0
Bengali Dhekur,"Bengali, Fast Food","Koramangala 1st Block, Bangalore",300,0
Havmor Ice Cream,"Desserts, Ice Cream, Beverages","Kaggadasapura, Bangalore",100,3
Fico,"Pizza, Fast Food","Koramangala 4th Block, Bangalore",200,0
Maravanthe,"Seafood, Mangalorean, North Indian, Chinese, Kerala","Indiranagar, Bangalore",1100,1
The Fatty Bao,"Asian, Sushi, Japanese, Chinese, Thai, Momos, Beverages","Indiranagar, Bangalore",1200,1
Kenny's Restaurant,Chinese,"Frazer Town, Bangalore",450,2
Plantain Leaf,"Andhra, Chinese, North Indian, Biryani","Thippasandra, Bangalore",800,1
Boba Tree,"Bubble Tea, Tea, Fast Food, Pizza, Beverages, Burger","Indiranagar, Bangalore",500,2
Salt Mango Tree,"Kerala, Biryani, Seafood, Beverages, Desserts, South Indian","Indiranagar, Bangalore",1200,1
Sundae Everyday Ice Creams,"Ice Cream, Shake","Indiranagar, Bangalore",150,0
Curry On Tikka,"North Indian, Mughlai, Fast Food, Kebab","Jeevan Bhima Nagar, Bangalore",250,0
Hatti Kaapi,"Coffee, Fast Food, Beverages","Indiranagar, Bangalore",400,2
Desi Chinese Kitchen,"Chinese, Asian","Thippasandra, Bangalore",700,1
Suryawanshi,"Maharashtrian, Seafood","Indiranagar, Bangalore",700,1
Art of Delight ,"Ice Cream, Desserts, Beverages","Domlur, Bangalore",150,0
Hotel Green Tara,"Chinese, Tibetan","Brigade Road, Bangalore",500,2
The Tasty Planet,"Fast Food, Salad, Sandwich, Street Food, Beverages, Juices, Shake","Richmond Road, Bangalore",100,3
Ambur Hot Dum Biriyani,Biryani,"Old Airport Road, Bangalore",100,0
Plan B,"American, Continental, Bar Food, Chinese, Fast Food, Pizza, Burger, Beverages","Indiranagar, Bangalore",1300,4
Mahesh Lunch Home ,"Seafood, Mangalorean, South Indian, North Indian, Continental","Domlur, Bangalore",800,1
NOTO- Healthy ice cream,"Ice Cream, Desserts","Ejipura, Bangalore",100,0
Kabab Souq,"Chinese, North Indian, Biryani, Mughlai, Rolls, BBQ","Kaggadasapura, Bangalore",550,2
Chakum Chukum Calcutta On A Roll,"Fast Food, Rolls","Indiranagar, Bangalore",400,3
Anupam's Coast II Coast,"Chinese, Mangalorean, North Indian, Mughlai, Beverages","Church Street, Bangalore",1400,4
Maedah,"North Indian, Chinese, Arabian, Mughlai, Kebab, Beverages, Desserts","Koramangala 8th Block, Bangalore",200,0
Pasta Street,"Pasta, Pizza, Italian, European, Salad, Desserts, Beverages","Indiranagar, Bangalore",1500,4
The Paratha Factory,"North Indian, Beverages, Chinese","Indiranagar, Bangalore",150,0
Homelike,"North Indian, Chinese","Jeevan Bhima Nagar, Bangalore",150,3
New Taj Special Dum Biryani,"Biryani, North Indian, Chinese, South Indian","Ulsoor, Bangalore",400,2
Kwality Wallâs Frozen Dessert and Ice Cream Shop,Ice Cream,"Kaggadasapura, Bangalore",100,0
Al Hayath Ambur Biryani,"Biryani, Fast Food, North Indian, Kebab","Ejipura, Bangalore",300,2
Andhra Mess,"Andhra, Biryani, Chinese, Seafood","Domlur, Bangalore",400,2
Kaayal,South Indian,"Jeevan Bhima Nagar, Bangalore",200,2
Cup Cake Noggins,"Bakery, Desserts","Domlur, Bangalore",200,0
Haka,"Chinese, Momos","Church Street, Bangalore",300,0
Dofu,"Chinese, Korean, Japanese, Beverages","Indiranagar, Bangalore",1200,1
Cafe Noir,"Continental, Fast Food, Desserts, Beverages, Shake","UB City, Bangalore",1500,4
Chai Days,"Fast Food, Beverages","Indiranagar, Bangalore",300,2
Chopstick,Chinese,"Jeevan Bhima Nagar, Bangalore",250,3
Maalgaadi By Dhaba Estd 1986 Delhi,"North Indian, Mughlai, Biryani","Indiranagar, Bangalore",200,0
MISU,"Asian, Japanese, Thai","Indiranagar, Bangalore",1700,4
Nizam's Biryani House,"Biryani, North Indian, Chinese, Andhra, Beverages, Hyderabadi, Shake","Marathahalli, Bangalore",700,1
Pizza Stop,"Pasta, Pizza, Fast Food","Domlur, Bangalore",400,2
Globo Ice Creams of the World,Ice Cream,"Indiranagar, Bangalore",100,0
Basco And Fry,"American, Mexican, Burger","Indiranagar, Bangalore",350,0
C Kosila Kitchen,"North Indian, Chinese, Fast Food, Chettinad","Ejipura, Bangalore",300,2
Naachiyar's,"Chettinad, Biryani","Ulsoor, Bangalore",600,1
Sri Swadishta Upahara,South Indian,"Koramangala 5th Block, Bangalore",50,0
Desi Masala,"North Indian, Chinese, Desserts, Beverages","Banaswadi, Bangalore",700,1
Sankranthi Veg,"South Indian, Chinese","Thippasandra, Bangalore",200,2
Thai House,Thai,"5th Avenue, Brigade Road, Bangalore",400,2
Al Zaitoon,"Chinese, North Indian, Mughlai, Lebanese","Richmond Road, Bangalore",500,2
Karavali Family Restaurant,"Mangalorean, Biryani, Chinese, South Indian","Brigade Road, Bangalore",500,2
Juice Junction,"Sandwich, Fast Food, Juices, Shake, Beverages","Koramangala 5th Block, Bangalore",100,3
CakeWalk,"Bakery, Fast Food, Desserts, Beverages","Indiranagar, Bangalore",350,3
Ammi's Biryani,Biryani,"Jeevan Bhima Nagar, Bangalore",200,0
ITC Sunfeast Baked Creations,"Bakery, Desserts, Sandwich","Banaswadi, Bangalore",250,0
ATH - All Things Healthy!,Healthy Food,"Domlur, Bangalore",150,0
Copper Chimney,"Mughlai, Kebab","HSR, Bangalore",350,3
Iceberg Organic Icecreams,"Ice Cream, Shake","Indiranagar, Bangalore",300,2
Tata Cha now Qmin,"Tea, Beverages, Street Food, Shake","Indiranagar, Bangalore",300,2
Ooty Chocolates,Desserts,"Indiranagar, Bangalore",300,2
The Pastry Zone Cake & Desserts,"Bakery, Desserts","Kalyan Nagar, Bangalore",200,3
Jalandhar Junction,"North Indian, Chinese, Beverages, Desserts","Banaswadi, Bangalore",600,1
Bangalore Thindies  ,South Indian,"Indiranagar, Bangalore",150,2
Angel Mess,"South Indian, Seafood, Biryani, North Indian","Kaggadasapura, Bangalore",250,2
Shikara Foods,"Andhra, Biryani, South Indian","Koramangala 1st Block, Bangalore",350,2
Coastal Machali Co.,"Asian, Mangalorean, Seafood, South Indian, North Indian, Beverages, Chinese","Residency Road, Bangalore",1100,1
Raidan Restaurant,"Arabian, Chinese, Fast Food, North Indian, Beverages","Frazer Town, Bangalore",800,1
Bowl Soul,"Fast Food, Beverages","Indiranagar, Bangalore",250,0
Raffaele's Ristorante Pizzeria,"Pizza, Italian, Beverages","Indiranagar, Bangalore",800,1
Pizza 997 AD,"Pizza, Fast Food, Desserts","Thippasandra, Bangalore",350,0
New Kadai Family Restaurant,"Chinese, Kebab, South Indian, North Indian, Fast Food, Beverages, Desserts, Shake","RT Nagar, Bangalore",900,1
Si Pizza,Fast Food,"Koramangala 5th Block, Bangalore",150,0
The Momo Co.,"Chinese, Momos, Desserts, Beverages","Indiranagar, Bangalore",200,0
Big Pitcher,"Bar Food, Continental, North Indian, Mughlai, Biryani, Chinese, Desserts, Beverages","Old Airport Road, Bangalore",1600,4
Tarbouche,"Turkish, Rolls, Middle Eastern, Lebanese","Indiranagar, Bangalore",150,3
Foodism.in,"North Indian, Fast Food, Chinese, Beverages","Jeevan Bhima Nagar, Bangalore",200,3
Choi Choi Momos,Chinese,"Brigade Road, Bangalore",100,3
Fabelle Chocolates - WelcomHotel By ITC Hotels,Desserts,"WelcomHotel By ITC Hotels, Richmond Road, Bangalore",1000,1
Biergarten,"Continental, European, BBQ, Chinese, Asian","Koramangala 5th Block, Bangalore",2000,4
Sri Nidhi Sagar,"South Indian, North Indian, Street Food, Chinese, Beverages, Ice Cream, Shake","Domlur, Bangalore",300,2
Fipola Grill House,"Roast Chicken, Fast Food","Domlur, Bangalore",400,2
Manchatti Homely Food,"South Indian, Kerala","CV Raman Nagar, Bangalore",250,2
Drip the Cafe Bar,"Fast Food, Beverages, Shake","Kaggadasapura, Bangalore",150,2
Donne Biriyani Hub,"Biryani, Sandwich, Rolls, Chinese, South Indian, Beverages","Domlur, Bangalore",150,0
Saffron Vegetarian Cuisine,"North Indian, Chinese, Mexican","Banaswadi, Bangalore",700,1
Hotel Tom's Restaurant,"Mangalorean, Mughlai, Chinese, North Indian, Shake","Brigade Road, Bangalore",1000,1
Mint Masala,"Chinese, North Indian, Desserts, Beverages","Sadashiv Nagar, Bangalore",800,1
Hyderabad Biryani Zone,"Biryani, North Indian, Chinese, Mughlai, Seafood, Kebab, Rolls","Rammurthy Nagar, Bangalore",600,1
Chinita Real Mexican Food,"Mexican, Desserts, Beverages","Indiranagar, Bangalore",1200,1
The Baklava Company,"Mithai, Desserts","Kammanahalli, Bangalore",250,3
Bob's Bar,"South Indian, Finger Food, Desserts, Beverages","Indiranagar, Bangalore",1100,1
Kadamba Foodline,"Chinese, North Indian, South Indian, Shake","Ulsoor, Bangalore",300,2
Vadilal Ice Cream,"Ice Cream, Desserts","Koramangala 6th Block, Bangalore",100,0
Shahi Biryani,Biryani,"Residency Road, Bangalore",100,3
Lavonne,"Cafe, Fast Food, Bakery, Beverages, Desserts","Indiranagar, Bangalore",800,1
Just Bake,"Bakery, Desserts","HBR Layout, Bangalore",500,3
Big Wong,"Asian, Sushi, Chinese, Thai","Indiranagar, Bangalore",400,3
The Tea Brewery,"Tea, Fast Food, Beverages","Koramangala 1st Block, Bangalore",100,3
The Hole In The Wall Cafe,"Fast Food, Sandwich, Burger, Desserts","Domlur, Bangalore",200,0
Drunken Monkey,"Beverages, Healthy Food","Koramangala 4th Block, Bangalore",400,2
Chikpete Donne Biryani Mane ,Biryani,"Jeevan Bhima Nagar, Bangalore",200,0
New Taj Biriyani,"Mughlai, Biryani","Domlur, Bangalore",200,2
The Mangalorean,"Mangalorean, Seafood, North Indian","Kammanahalli, Bangalore",550,2
Carols Pastries & Bakers,"Bakery, Desserts","Vasanth Nagar, Bangalore",200,3
Coastal Grill,"Mangalorean, Seafood, North Indian, Chinese","Koramangala 8th Block, Bangalore",400,2
3 Mangos,"Fast Food, Desserts, Ice Cream, Beverages, Sandwich, Shake","Kammanahalli, Bangalore",100,3
Zahra's Kitchen,"North Indian, Chinese, Mughlai","Kaggadasapura, Bangalore",100,3
Singh Da Punjabi Dhaba,"North Indian, Biryani","Thippasandra, Bangalore",100,0
Achayyan's,"Kerala, South Indian","Indiranagar, Bangalore",350,2
Oru Vadakkan Cafe,"Kerala, South Indian, Biryani, Seafood, Beverages","Koramangala 5th Block, Bangalore",300,2
Tea Brew,"Cafe, Continental, Pasta, Burger, Momos, Beverages, Tea, Bubble Tea","Indiranagar, Bangalore",800,1
Le Gateau - The Cake Shop,Bakery,"Domlur, Bangalore",200,3
Konark Vegetarian Restaurant,"North Indian, Chinese, Continental, South Indian","Lavelle Road, Bangalore",600,1
Brownie Heaven,"Desserts, Beverages, Shake","Indiranagar, Bangalore",300,2
Food Manthra,"North Indian, Chinese, Biryani, Rolls, South Indian","Ulsoor, Bangalore",300,2
Chef Bakers,Bakery,"Marathahalli, Bangalore",100,3
Sheesh Kebab,"Kebab, Iranian, North Indian, Biryani, Rolls","Frazer Town, Bangalore",500,2
Connie's Steakhouse Kitchen ,"Steak, Continental, Pasta, Burger, Desserts, Beverages","Koramangala 4th Block, Bangalore",1500,4
The Biryani Zone - By Kouzina,Biryani,"Domlur, Bangalore",200,3
Tibb's Frankie,Rolls,"Shivajinagar, Bangalore",200,3
Venad Kitchen,Kerala,"Kaggadasapura, Bangalore",150,3
Rolls & Bowls Company,"Rolls, North Indian, Chinese, Fast Food","Indiranagar, Bangalore",250,0
Khaja's Briyani,"Lebanese, Rolls","Kammanahalli, Bangalore",200,2
Big Bang Pizza,"Pizza, Fast Food, Beverages","Frazer Town, Bangalore",700,1
Chianti,"Italian, Pasta, Pizza, Salad, Desserts","Koramangala 5th Block, Bangalore",2000,4
Arabian Hot Spot,"Arabian, Mughlai, North Indian, Beverages, Juices","Kalyan Nagar, Bangalore",1200,1
Zwarma,"Fast Food, Lebanese","Ulsoor, Bangalore",100,3
Biryani Khazana,"Biryani, Shake","Indiranagar, Bangalore",150,3
